Rank,Country,value
1,None,1751683
2,netherlands,24806
3,turkey,4199
4, United Kingdom,1690
5, United States,1088
6, Indonesia,700
7,belgium,610
8, Spain,535
9, France,487
10,germany,442
11, Brazil,416
12, Italy,161
13, Malaysia,130
14, Canada,116
15, Ireland,101
16, Portugal,94
17, Mexico,89
18, Chile,71
19, Latvia,69
20, Switzerland,61
21, Austria,51
22, Sweden,48
23, South Africa,43
24, Denmark,41
25, Argentina,37
26, Poland,31
27, Norway,25
28, Morocco,22
29, Greece,20
30, Russia,17
31, Japan,15
32, Serbia,14
33,greece,14
34, Ukraine,13
35, Finland,8
36, Belarus,8
37, Paraguay,6
38, Estonia,6
